,Dataset,acRF,acSVM,acGB,Entropy,dci,MeanStd,TE,DS
0,DataSet_1.csv,0.297043011,0.716397849,0.352150538,4.179855288,0.015651296,"[63.89247311827957, 363.56751121650467]",0.040322581,744
1,DataSet_10.csv,0.71957672,0.798941799,0.761904762,4.659568208,0.005674653,"[176.22222222222223, 548.6877306351574]",0.031746032,189
2,DataSet_11.csv,0.608695652,0.673913043,0.5,3.816971849,0.004242564,"[235.70652173913044, 1819.7632283758162]",0.043478261,92
3,DataSet_12.csv,0.529644269,0.557312253,0.541501976,4.006924589,0.016573862,"[60.33596837944664, 250.32688860142167]",0.055335968,253
4,DataSet_13.csv,0.913242009,0.947488584,0.931506849,4.198442562,0.018689196,"[53.50684931506849, 286.1978890352735]",0.0456621,438
5,DataSet_14.csv,0.222222222,0.148148148,0.259259259,3.193148395,0.00373599,"[267.6666666666667, 450.22463529023173]",0.074074074,27
6,DataSet_15.csv,0.422413793,0.827586207,0.543103448,0.914484458,0.055422838,"[18.04310344827586, 56.3204183347664]",0.75,116
7,DataSet_16.csv,0.498997996,0.523046092,0.476953908,0.654720645,0.590532544,"[1.6933867735470942, 0.4739468365895454]",0.687374749,499
8,DataSet_17.csv,0.737704918,0.868852459,0.770491803,3.875034655,0.006888763,"[145.1639344262295, 274.8199518091602]",0.049180328,61
9,DataSet_18.csv,0.59079131,0.65397648,0.533984453,0.066527937,0.214594294,"[4.659956149093084, 78.04247460437169]",0.992824397,5017
10,DataSet_19.csv,0.702319588,0.747100515,0.696198454,0.06360354,0.309040223,"[3.2358247422680413, 27.034791541664298]",0.992912371,3104
11,DataSet_2.csv,0.804878049,0.910569106,0.800813008,3.864065845,0.025442135,"[39.30487804878049, 123.10079375600756]",0.073170732,246
12,DataSet_20.csv,0.637254902,0.649237473,0.6416122,0.697811155,0.23623263,"[4.233115468409586, 32.43935372738309]",0.772331155,918
13,DataSet_21.csv,0.687026515,0.843276515,0.701231061,0.069636855,0.240656335,"[4.15530303030303, 54.91969456092912]",0.991950758,2112
14,DataSet_22.csv,0.483843171,0.515295131,0.426971133,0.821060779,0.18059446,"[5.537268418785007, 56.52056557339685]",0.854803964,2321
15,DataSet_23.csv,0.570571696,0.598125586,0.526897844,0.60236286,0.27692707,"[3.611059044048735, 87.98664159868606]",0.856794752,5335
16,DataSet_24.csv,0.704288939,0.747554552,0.695259594,0.193517857,0.094708712,"[10.558690744920993, 334.72999987414124]",0.970654628,2658
17,DataSet_25.csv,0.33297062,0.292709467,0.269858542,0.486766822,0.367894315,"[2.7181719260065287, 7.797910390059571]",0.886833515,919
18,DataSet_26.csv,0.825112108,0.941704036,0.762331839,0.291388844,0.417602996,"[2.3946188340807173, 6.958967999426666]",0.928251121,223
19,DataSet_27.csv,0.217539863,0.147494305,0.15546697,0.331902247,0.457410784,"[2.18621867881549, 1.5822381303566535]",0.933371298,1756
20,DataSet_28.csv,0.530690162,0.600293686,0.478120411,0.77595608,0.131543365,"[7.6020558002936856, 177.31669386256968]",0.822613803,3405
21,DataSet_29.csv,0.47706422,0.800458716,0.481651376,1.675470022,0.140963466,"[7.094036697247707, 7.3754403531126895]",0.403669725,436
22,DataSet_3.csv,0.729559748,0.905660377,0.798742138,3.74672154,0.017105971,"[58.459119496855344, 323.13398008179433]",0.094339623,159
23,DataSet_30.csv,0.595289079,0.788008565,0.644539615,1.488069449,0.167623833,"[5.965738758029978, 6.531664238956856]",0.490364026,467
24,DataSet_31.csv,0.752324037,0.798804781,0.758300133,0.037727689,0.318865128,"[3.136122177954847, 27.178558347228027]",0.995351926,1506
25,DataSet_32.csv,0.518181818,0.732727273,0.503636364,0.326576017,0.140628995,"[7.110909090909091, 53.56148946509057]",0.929090909,550
26,DataSet_33.csv,0.580879387,0.655909641,0.548003227,0.444485639,0.120797193,"[8.27833803953207, 124.23800329605352]",0.893102057,4958
